id,companyId,number,product,product_en,multiple,name,logo,product_img
37,11,"2","酒店旅游服务","Hospitality/Tourism services",0,"Dedza Pottery","images/SME/Dedza Pottery/","images/SME/Dedza Pottery/2.jpg"
38,12,"1","百分百羊毛针织服饰","100% Cashmere knitted
clothing",0,"Sain tumen cashmere LLC","images/SME/Sain tumen cashmere LLC/","images/SME/Sain tumen cashmere LLC/1.jpg"
39,12,"2","百分百羊毛针织配饰","100% Cashmere knitted
accessories
",0,"Sain tumen cashmere LLC","images/SME/Sain tumen cashmere LLC/","images/SME/Sain tumen cashmere LLC/2.jpg"
40,13,"1","解决方案材料","Solution paints",0,"COLORADO","images/SME/COLORADO/","images/SME/COLORADO/1.jpg"
41,13,"2","建筑涂料","Architectural paints",0,"COLORADO","images/SME/COLORADO/","images/SME/COLORADO/2.jpg"
42,13,"3","工业涂料","Industrial paints",0,"COLORADO","images/SME/COLORADO/","images/SME/COLORADO/3.jpg"
43,13,"4","汽车修补漆","Automotive car refinish",0,"COLORADO","images/SME/COLORADO/","images/SME/COLORADO/4.jpg"
44,13,"5","木器漆","Wood paints",0,"COLORADO","images/SME/COLORADO/","images/SME/COLORADO/5.jpg"
45,14,"1","颂钵","Singing bowls",0,"BEST HIMALAYA EXPORT PVT LTD","images/SME/BEST HIMALAYA EXPORT PVT LTD/","images/SME/BEST HIMALAYA EXPORT PVT LTD/1.jpg"
46,14,"2","毛毡制品","Felt products",0,"BEST HIMALAYA EXPORT PVT LTD","images/SME/BEST HIMALAYA EXPORT PVT LTD/","images/SME/BEST HIMALAYA EXPORT PVT LTD/2.jpg"
47,15,"1","披肩","Shawl",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/1.jpg"
48,15,"2","毛衣","Sweater",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/2.jpg"
49,15,"3","围巾","Scarf",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/3.jpg"
50,15,"4","女用披肩","Stoles",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/4.jpg"
51,15,"5","毯子","Blankets",0,"Divya Pashmina Udyog","images/SME/Divya Pashmina Udyog/","images/SME/Divya Pashmina Udyog/5.jpg"
